Unnamed: 0,sexo,tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
0,masculino,industria,fabrica de ,barrio caicedo,2,9.0,30/04/2018,7800000.0,microempresarial
1,masculino,comercio,charcuteria,villa_hermosa,3,8.0,5/07/2017,7300000.0,microempresarial
2,femenino,industria,fabrica de ,picachito,1,6.0,12/10/2018,6000000.0,microempresarial
3,masculino,servicio,organización y ,robledo,2,7.0,8/09/2016,1500000.0,microempresarial
4,masculino,comercio,variedades,belen,2,16.0,20/06/2017,7300000.0,microempresarial
5,femenino,industria,fabrica de ,robledo,3,7.0,17/02/2017,5500000.0,microempresarial
6,masculino,comercio,papeleria,barrio caicedo,2,9.0,24/10/2018,7800000.0,microempresarial
7,femenino,comercio,tienda,aranjuez,3,4.0,26/10/2018,2500000.0,microempresarial
8,masculino,comercio,variedades,robledo,2,7.0,4/09/2017,7300000.0,microempresarial
9,femenino,servicio,cerrajeria,villa hermosa,3,8.0,21/09/2017,7300000.0,microempresarial
10,femenino,comercio,deposito de ,barrio caicedo,1,9.0,10/08/2018,5000000.0,microempresarial
11,femenino,comercio,comidas rapidas,robledo,3,7.0,22/12/2016,1500000.0,microempresarial
12,femenino,servicio,almacen de ropa en ,picachito,2,6.0,18/07/2017,7000000.0,microempresarial
13,femenino,industria,fabrica de ,robledo,2,7.0,3/03/2017,7000000.0,microempresarial
14,masculino,comercio,taller de mecanica,el salvador,3,9.0,29/08/2018,7800000.0,microempresarial
15,femenino,industria,panaderia,robledo,2,7.0,25/08/2017,7370000.0,microempresarial
16,femenino,industria,fabrica de ,picacho,1,6.0,3/10/2018,5250000.0,microempresarial
17,femenino,comercio,comidas rapidas,picacho,1,6.0,14/12/2018,7000000.0,microempresarial
18,femenino,comercio,tienda,belen,2,16.0,1/08/2016,5000000.0,microempresarial
19,femenino,comercio,comidas rapidas,belencito,2,13.0,19/04/2018,1500000.0,microempresarial
20,masculino,comercio,restaurante,aranjuez,2,4.0,27/06/2018,1500000.0,microempresarial
21,femenino,comercio,variedades,belen,3,16.0,13/03/2018,7800000.0,microempresarial
22,masculino,comercio,distribuidora de ,manrique oriental,2,3.0,2018/09/21,7800000.0,microempresarial
23,masculino,servicio,variedades,belen,3,16.0,4/11/2016,28000000.0,empresarial ed. 
24,femenino,comercio,distribuidora de ,manrique central no. 2,2,3.0,16/02/2016,6890000.0,microempresarial
25,femenino,industria,fabrica de ,villa niza,2,2.0,31/05/2017,7370000.0,microempresarial
26,femenino,comercio,fabrica de muebles,robledo,2,7.0,27/02/2017,7300000.0,microempresarial
27,femenino,industria,fabrica de ,la milagrosa,3,9.0,10/07/2017,7000000.0,microempresarial
28,masculino,comercio,productos de belleza,cabecera san antonio ,3,80.0,6/03/2019,5000000.0,microempresarial
29,femenino,comercio,tienda,granizal,2,1.0,26/09/2017,7300000.0,microempresarial
30,femenino,servicio,servicios ,la ladera,3,8.0,7/05/2018,3000000.0,microempresarial
31,femenino,comercio,almacen de ropa en ,villa hermosa,3,8.0,7/03/2017,5000000.0,microempresarial
32,masculino,servicio,variedades,villa niza,2,2.0,2017/02/10,7000000.0,microempresarial
34,femenino,comercio,tienda,santa cruz,2,2.0,2/08/2018,5000000.0,microempresarial
35,femenino,comercio,comidas rapidas,la pradera,2,13.0,15/11/2018,6000000.0,microempresarial
36,femenino,servicio,fabrica de ,san diego,2,10.0,20/01/2016,6000000.0,microempresarial
37,femenino,comercio,tienda,cabecera san cristobal,2,60.0,20/03/2019,8000000.0,microempresarial
38,femenino,comercio,almacen de ropa en ,aranjuez,3,4.0,9/03/2017,7377000.0,microempresarial
39,masculino,comercio,variedades,villa guadalupe,2,1.0,24/10/2018,1500000.0,microempresarial
40,femenino,comercio,variedades,castilla,3,5.0,12/03/2019,8200000.0,microempresarial
42,masculino,servicio,recreativo-educativo,belalcazar,3,5.0,24/05/2018,7800000.0,microempresarial
43,masculino,servicio,comidas rapidas,robledo,2,7.0,2016/04/21,3500000.0,microempresarial
44,femenino,comercio,tienda,robledo,2,7.0,2018/01/26,7800000.0,microempresarial
45,femenino,industria,deposito de ,llanaditas,1,8.0,6/02/2017,7377000.0,microempresarial
46,masculino,industria,fabrica de ,la pradera,3,13.0,2016/12/7,5000000.0,microempresarial
47,femenino,comercio,variedades,popular,2,1.0,5/06/2018,6000000.0,microempresarial
48,masculino,comercio,productos de belleza,castilla,3,5.0,14/11/2017,6000000.0,microempresarial
49,masculino,servicio,barberia,belen,1,16.0,2019/03/7,7000000.0,microempresarial
50,femenino,comercio,tienda,robledo,2,7.0,6/02/2018,7000000.0,microempresarial
51,femenino,industria,fabrica de ,san javier no.1,1,13.0,4/05/2017,7000000.0,microempresarial
52,masculino,comercio,variedades,manrique central no. 2,2,3.0,6/01/2017,2000000.0,microempresarial
53,femenino,comercio,almacen de ropa en ,belen,3,16.0,25/07/2018,5000000.0,microempresarial
54,femenino,industria,fabrica de ,san javier no.1,2,13.0,7/11/2017,5000000.0,microempresarial
55,masculino,servicio,comidas rapidas,san javier no.1,2,13.0,8/11/2018,7800000.0,microempresarial
